,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Initial_Confs,0,238.15401315689087,0.9921259842519685,0.9574468085106383
1,Initial_Confs,2,198.05435943603516,0.9921259842519685,0.9787234042553191
2,Initial_Confs,4,201.9458360671997,0.9921259842519685,0.9946808510638298
3,Initial_Confs,8,225.32891464233398,0.9973753280839895,0.973404255319149
4,Initial_Confs,16,259.68815517425537,1.0,0.9627659574468085
5,Initial_Confs,32,181.392272233963,0.9973753280839895,0.973404255319149
6,Max_Models,2,172.62846541404724,0.989501312335958,0.973404255319149
7,Max_Models,4,173.35061025619507,0.994750656167979,0.9787234042553191
8,Max_Models,8,173.0515296459198,1.0,0.973404255319149
9,Max_Models,16,177.73717880249023,0.9973753280839895,0.973404255319149
10,Max_Models,32,180.22965145111084,0.9973753280839895,0.973404255319149
11,Max_Models,64,226.60642528533936,1.0,0.9840425531914894
12,Ensemble_Size,1,173.660151720047,0.989501312335958,0.9680851063829787
13,Ensemble_Size,2,221.60177850723267,0.9921259842519685,0.9574468085106383
14,Ensemble_Size,3,175.25804924964905,0.989501312335958,0.9680851063829787
15,Ensemble_Size,4,229.76379799842834,0.9921259842519685,0.9680851063829787
16,Ensemble_Size,8,209.95840430259705,0.9921259842519685,0.9787234042553191
17,Ensemble_Size,16,176.34004855155945,0.9973753280839895,0.9840425531914894
18,Resampling_Strategy,holdout,250.76309394836426,1.0,0.9840425531914894
19,Resampling_Strategy,holdout-iterative-fit,199.48223757743835,1.0,0.9468085106382979
20,Resampling_Strategy,cv,173.65796041488647,0.6194225721784777,0.6436170212765957
21,Resampling_Strategy,cv-iterative-fit,177.10247659683228,1.0,0.9787234042553191
